Tg,Ta,Va,MRT,LOT,MOT
29.025,28.757,0.10195255,29.283983143768126,29.020491571884065,25.118928212913517
29.025,28.759,0.098225167,29.276379321337856,29.01768966066893,25.118928212913517
29.025,28.759,0.092130552,29.266912608238613,29.012956304119307,25.118928212913517
29.026,28.759,0.10984089,29.295798728924694,29.027399364462347,25.118928212913517
29.026,28.76,0.096733919,29.27508283159233,29.017541415796167,25.118928212913517
29.026,28.76,0.087371168,29.260341497493073,29.01017074874654,25.118928212913517
29.026,28.76,0.078825573,29.24632249024711,29.003161245123557,25.118928212913517
29.028,28.76,0.09346801,29.27383621307547,29.016918106537737,25.118928212913517
29.028,28.762,0.091410325,29.268770336099863,29.01538516804993,25.118928212913517
29.028,28.762,0.096013946,29.275965295106744,29.018982647553372,25.118928212913517
