Air temperature [C],MRT [C],Air speed [m/s],Relative humidity [%],Metabolic rate [met],Clothing level [clo]
28.80966666666667,29.258139512365307,0.08663582433333333,48.0,1.0,0.57
28.81,29.259059201514333,0.08761858166666665,48.0,1.0,0.57
28.811000000000003,29.254621333202937,0.08481312533333334,48.0,1.0,0.57
28.811000000000003,29.235568975754784,0.07278963066666666,48.0,1.0,0.57
28.811000000000003,29.255617271701624,0.08419970366666667,48.0,1.0,0.57
28.812,29.25926285843114,0.08837944466666668,48.0,1.0,0.57
28.81266666666667,29.256539232096276,0.08629175433333335,48.0,1.0,0.57
28.813333333333333,29.25608466728615,0.08572963766666668,48.0,1.0,0.57
28.813666666666666,29.236357513012592,0.07201226,48.0,1.0,0.57
28.813666666666666,29.23202173531352,0.069594429,48.0,1.0,0.57
28.814333333333334,29.232380161341155,0.068681543,48.0,1.0,0.57
