timestamp,CELLS/Outside/SPN1/Global,timestamp,CELLS/Outside/SPN1/Diffuse,timestamp,CELLS/Outside/SPN1/Sunshine
7:00:00,59.72333333,7:00:00,28.3,,
7:02:00,63.61166667,7:02:00,28.98166667,,
7:04:00,67.71833333,7:04:00,29.81833333,,
7:06:00,71.355,7:06:00,30.55166667,,
7:08:00,75.21333333,7:08:00,31.65333333,,
7:10:00,79.535,7:10:00,32.65,,
7:12:00,85.195,7:12:00,34.55166667,,
7:14:00,90.50833333,7:14:00,36.21166667,,
7:16:00,95.43333333,7:16:00,37.62833333,,
7:18:00,101.4183333,7:18:00,39.58,,
7:20:00,107.855,7:20:00,41.51166667,,
7:22:00,113.0466667,7:22:00,42.53,,
7:24:00,117.2733333,7:24:00,42.255,,
7:26:00,122.6883333,7:26:00,43.56166667,,
7:28:00,128.6683333,7:28:00,44.805,,
7:30:00,133.1266667,7:30:00,45.16833333,,
7:32:00,138.13,7:32:00,45.73,,
7:34:00,144.0666667,7:34:00,46.44833333,,
7:36:00,150.5216667,7:36:00,48,,
7:38:00,155.1066667,7:38:00,48.72833333,,
7:40:00,162.005,7:40:00,51.44333333,,
7:42:00,170.305,7:42:00,55.08666667,,
7:44:00,174.2333333,7:44:00,54.735,,
7:46:00,179.7516667,7:46:00,55.36666667,,
7:48:00,186.045,7:48:00,56.39333333,,
7:50:00,194.2333333,7:50:00,58.865,,
7:52:00,200.0083333,7:52:00,60.25333333,,
7:54:00,205.5816667,7:54:00,60.96166667,,
7:56:00,212.4566667,7:56:00,62.54833333,,
7:58:00,218.8066667,7:58:00,63.93666667,,
8:00:00,224.22,8:00:00,64.53166667,,
8:02:00,228.45,8:02:00,64.815,,
8:04:00,233.165,8:04:00,66.26333333,,
8:06:00,237.6016667,8:06:00,68.42,,
8:08:00,244.3133333,8:08:00,70.4,,
8:10:00,251.72,8:10:00,71.56833333,,
8:12:00,258.115,8:12:00,73.33,,
8:14:00,262.2183333,8:14:00,74.03833333,,
8:16:00,265.5116667,8:16:00,75.285,,
8:18:00,271.655,8:18:00,76.27666667,,
8:20:00,276.015,8:20:00,76.815,,
8:22:00,282.085,8:22:00,77.69333333,,
8:24:00,289.4,8:24:00,79.64833333,,
8:26:00,296.6933333,8:26:00,81.405,,
8:28:00,302.645,8:28:00,82.765,,
8:30:00,308.745,8:30:00,83.74,,
8:32:00,317.09,8:32:00,85.10166667,,
8:34:00,326.61,8:34:00,88.33666667,,
8:36:00,333.8866667,8:36:00,90.625,,
8:38:00,340.4666667,8:38:00,91.445,,
8:40:00,343.2916667,8:40:00,88.63333333,,
8:42:00,347.525,8:42:00,86.76333333,,
8:44:00,354.3033333,8:44:00,87.18,,
