Minute,T_air (°C),T_globe (°C),Air_speed (m/s)
2025-03-14 09:50:00,29.1951,29.490683333333333,0.5626430595999999
2025-03-14 09:51:00,29.039416666666668,29.410500000000003,0.44288666615
2025-03-14 09:52:00,28.848766666666666,29.298916666666667,0.44483511728333336
2025-03-14 09:53:00,28.584600000000002,29.15376666666667,0.38544113913333333
2025-03-14 09:54:00,28.3077,28.972016666666665,0.14462371361666668
2025-03-14 09:55:00,27.96015,28.759366666666665,0.13460709931666667
2025-03-14 09:56:00,27.659499999999998,28.51335,0.17423572869999998
2025-03-14 09:57:00,27.258283333333335,28.2396,0.17459359089999998
2025-03-14 09:58:00,26.841283333333333,27.92725,0.23184803491666667
2025-03-14 09:59:00,26.420883333333332,27.585066666666666,0.18103984533333334
2025-03-14 10:00:00,26.05091666666667,27.250016666666667,0.14908419566666667
2025-03-14 10:01:00,25.69203333333333,26.922033333333335,0.13632396265000002
2025-03-14 10:02:00,25.439183333333332,26.606916666666667,0.12276174166666666
2025-03-14 10:03:00,25.097933333333334,26.3093,0.13794651558333332
2025-03-14 10:04:00,24.8094,26.013083333333334,0.1546632537
2025-03-14 10:05:00,24.51375,25.712483333333335,0.16235773856666666
2025-03-14 10:06:00,24.237983333333332,25.419066666666666,0.1518253739
2025-03-14 10:07:00,23.86685,25.134233333333334,0.16966434498333335
2025-03-14 10:08:00,23.656633333333332,24.863516666666666,0.13247740245
2025-03-14 10:09:00,23.497966666666667,24.6284,0.15246743798333334
2025-03-14 10:10:00,23.3088,24.414766666666665,0.09402057008333334
2025-03-14 10:11:00,23.156383333333334,24.230666666666664,0.13531459481666666
2025-03-14 10:12:00,23.041716666666666,24.065366666666666,0.12894784310000001
2025-03-14 10:13:00,22.9059,23.92396666666667,0.10247495
2025-03-14 10:14:00,22.838516666666667,23.807683333333333,0.1225191551
2025-03-14 10:15:00,22.785116666666667,23.709999999999997,0.1193642979
2025-03-14 10:16:00,22.7418,23.625283333333336,0.14164100173333333
2025-03-14 10:17:00,22.74505,23.554366666666667,0.16828611335000002
2025-03-14 10:18:00,22.764016666666667,23.503800000000002,0.10977273416666668
2025-03-14 10:19:00,22.74431666666667,23.467733333333335,0.11817699746666667
2025-03-14 10:20:00,22.73275,23.438499999999998,0.1553576707
2025-03-14 10:21:00,22.7192,23.408883333333332,0.10874706331666667
2025-03-14 10:22:00,22.712566666666664,23.37845,0.12101237005000001
2025-03-14 10:23:00,22.66668333333333,23.34961666666667,0.1270859438
2025-03-14 10:24:00,22.53693333333333,23.30216666666667,0.12104866218333334
2025-03-14 10:25:00,22.439716666666666,23.234983333333332,0.09587469921666666
2025-03-14 10:26:00,22.34295,23.16445,0.14560745556666665
2025-03-14 10:27:00,22.16593333333333,23.07401666666667,0.15492037836666667
2025-03-14 10:28:00,22.01295,22.954183333333333,0.16167964058333334
2025-03-14 10:29:00,21.8688,22.829150000000002,0.17275161388333332
2025-03-14 10:30:00,21.698666666666668,22.69881666666667,0.19777787286666668
2025-03-14 10:31:00,21.589116666666666,22.562283333333333,0.17279239481666667
2025-03-14 10:32:00,21.537249999999997,22.444133333333333,0.14302559975
2025-03-14 10:33:00,21.493566666666666,22.346833333333333,0.13053106215000002
2025-03-14 10:34:00,21.42845,22.26611666666667,0.1359289705166667
2025-03-14 10:35:00,21.303616666666663,22.187816666666667,0.14048604793333333
2025-03-14 10:36:00,21.192883333333334,22.092266666666667,0.14596753645000002
2025-03-14 10:37:00,21.073083333333333,21.9902,0.15251589655
2025-03-14 10:38:00,20.9003,21.884349999999998,0.17050482591666669
2025-03-14 10:39:00,20.778583333333334,21.7689,0.15994514003333335
2025-03-14 10:40:00,20.752200000000002,21.662033333333333,0.14968074250000002
2025-03-14 10:41:00,20.73983333333333,21.578783333333334,0.18001708484999998
2025-03-14 10:42:00,20.718033333333334,21.508233333333333,0.13784943465000002
2025-03-14 10:43:00,20.750166666666665,21.455733333333335,0.14309858863333333
2025-03-14 10:44:00,20.731933333333334,21.418783333333334,0.13129702973333332
2025-03-14 10:45:00,20.732266666666664,21.391933333333334,0.11038357076666667
2025-03-14 10:46:00,20.716666666666665,21.371366666666667,0.13244664931666666
2025-03-14 10:47:00,20.722966666666665,21.353116666666665,0.12918052526666665
2025-03-14 10:48:00,20.739700000000003,21.343083333333333,0.1243013479
2025-03-14 10:49:00,20.750549999999997,21.33635,0.11320520413333333
2025-03-14 10:50:00,20.75905,21.3349,0.10534848908333333
2025-03-14 10:51:00,20.71261666666667,21.3293,0.12697612963333332
2025-03-14 10:52:00,20.651866666666667,21.305233333333334,0.14561362616666665
2025-03-14 10:53:00,20.612599999999997,21.269083333333334,0.09412219475
2025-03-14 10:54:00,20.616966666666666,21.231533333333335,0.08668987095
2025-03-14 10:55:00,20.599300000000003,21.19275,0.08089781146666668
