,Draught Rate,ASHRAE Standard,ISO 7730 Standard,Date/Time
1557,22.070306737702982,X,Cat III,3/14/2025 9:40
1574,21.009872331454613,X,Cat III,3/14/2025 9:41
1575,26.95071671103088,X,Cat III,3/14/2025 9:41
1576,24.16184234143867,X,Cat III,3/14/2025 9:41
1577,23.651499180438524,X,Cat III,3/14/2025 9:41
1578,26.613108999700295,X,Cat III,3/14/2025 9:41
1579,26.473375592194863,X,Cat III,3/14/2025 9:41
1596,29.956666386495716,X,Cat III,3/14/2025 9:41
1597,24.829696471833806,X,Cat III,3/14/2025 9:41
1598,29.86212685820003,X,Cat III,3/14/2025 9:41
1599,32.855145660878016,X,X,3/14/2025 9:41
1600,23.718245303243837,X,Cat III,3/14/2025 9:41
1618,40.53555899789277,X,X,3/14/2025 9:41
1619,37.90141678960871,X,X,3/14/2025 9:41
1620,34.98673724967152,X,X,3/14/2025 9:42
1621,34.978129954253276,X,X,3/14/2025 9:42
1622,31.334404987135198,X,X,3/14/2025 9:42
1623,25.936483240600175,X,Cat III,3/14/2025 9:42
1640,38.05549008800458,X,X,3/14/2025 9:42
1641,39.6300789806312,X,X,3/14/2025 9:42
1642,33.987229980215965,X,X,3/14/2025 9:42
1643,31.10379599819094,X,X,3/14/2025 9:42
1644,34.12965082081381,X,X,3/14/2025 9:42
1645,35.29495022702524,X,X,3/14/2025 9:42
1646,25.84581934510403,X,Cat III,3/14/2025 9:42
1662,23.779031432815895,X,Cat III,3/14/2025 9:42
1663,26.009854780474956,X,Cat III,3/14/2025 9:42
1664,24.709165776371297,X,Cat III,3/14/2025 9:42
1665,34.95025010406496,X,X,3/14/2025 9:42
1666,28.98874685459727,X,Cat III,3/14/2025 9:42
1667,33.9451023649697,X,X,3/14/2025 9:42
1683,36.59175369420878,X,X,3/14/2025 9:43
1684,34.195574485919494,X,X,3/14/2025 9:43
1685,40.85299463982483,X,X,3/14/2025 9:43
1686,25.440835793298795,X,Cat III,3/14/2025 9:43
1687,24.435300280986553,X,Cat III,3/14/2025 9:43
1688,34.8833241007894,X,X,3/14/2025 9:43
1689,34.46949121779973,X,X,3/14/2025 9:43
1707,22.480157429344377,X,Cat III,3/14/2025 9:43
1708,31.6097081139236,X,X,3/14/2025 9:43
1709,42.36101616786037,X,X,3/14/2025 9:43
1710,35.85347274212637,X,X,3/14/2025 9:43
1711,27.30404060843973,X,Cat III,3/14/2025 9:43
1712,25.022364842524755,X,Cat III,3/14/2025 9:43
1728,26.09396347257873,X,Cat III,3/14/2025 9:43
1729,34.28271899461941,X,X,3/14/2025 9:43
1730,30.887938787950503,X,X,3/14/2025 9:43
1731,25.399524936072787,X,Cat III,3/14/2025 9:43
1732,21.612185910690037,X,Cat III,3/14/2025 9:43
1733,22.343130380207217,X,Cat III,3/14/2025 9:43
1734,25.523336404104874,X,Cat III,3/14/2025 9:43
1751,35.184813501659605,X,X,3/14/2025 9:44
1752,33.11942030557369,X,X,3/14/2025 9:44
1753,38.92696010612685,X,X,3/14/2025 9:44
1754,29.496471307805088,X,Cat III,3/14/2025 9:44
1755,35.39920677707538,X,X,3/14/2025 9:44
1756,23.409051191611923,X,Cat III,3/14/2025 9:44
1773,29.41937553008671,X,Cat III,3/14/2025 9:44
1774,40.52346578405789,X,X,3/14/2025 9:44
1775,37.33674309714432,X,X,3/14/2025 9:44
1776,37.034798467796804,X,X,3/14/2025 9:44
1777,20.99582168818713,X,Cat III,3/14/2025 9:44
